fighter,age,height,wins_total,losses_total,SLpM_total,SApM_total
Josh Neer,41.0,180.34,36.0,16.0,3.29,3.63
Josh Parisian,34.0,193.04,15.0,8.0,4.55,4.88
Josh Quinlan,31.0,182.88,6.0,2.0,3.59,6.91
Josh Rafferty,43.0,182.88,9.0,8.0,0.6,3.6
Josh Samman,36.0,190.5,13.0,4.0,2.08,2.47
Josh Sampo,39.0,162.56,11.0,5.0,1.99,2.96
Josh Shockley,34.0,185.42,11.0,4.0,1.4,1.75
Josh Shockman,43.0,193.04,6.0,3.0,0.87,0.87
Josh Stansbury,39.0,187.96,4.0,8.0,3.22,3.5400000000000005
Josh Stuart,,175.26,1.0,4.0,0.0,0.0
Josh Thomson,45.0,177.8,22.0,9.0,2.59,2.12
Joshua Burkman,43.0,177.8,28.0,16.0,2.69,3.13
Joshua Van,22.0,165.1,10.0,1.0,9.08,5.77
Joshua Weems,29.0,172.72,11.0,3.0,5.25,3.34
Josiane Nunes,30.0,157.48,10.0,2.0,5.99,5.25
Journey Newson,35.0,165.1,10.0,5.0,2.64,2.57
Juan Adams,32.0,195.58,5.0,3.0,7.09,4.06
Juan Espino,43.0,190.5,11.0,2.0,2.38,1.95
Juan Manuel Puig,34.0,175.26,11.0,4.0,4.91,7.17
Juancamilo Ronderos,29.0,160.02,4.0,2.0,2.18,2.18
Jules Bruchez,46.0,182.88,1.0,2.0,0.69,5.52
Julia Avila,35.0,170.18,9.0,3.0,2.59,2.86
Julian Erosa,34.0,185.42,29.0,12.0,6.14,6.29
Julian Marquez,33.0,187.96,9.0,4.0,4.86,4.99
Julian Sanchez,,190.5,0.0,1.0,0.0,0.0
Juliana Lima,42.0,165.1,9.0,5.0,1.94,2.11
Juliana Miller,27.0,170.18,4.0,3.0,3.31,4.75
Julianna Pena,34.0,167.64,12.0,5.0,3.16,2.3
Julie Kedzie,43.0,165.1,16.0,13.0,2.9,3.18
Julija Stoliarenko,30.0,170.18,11.0,9.0,2.49,4.54
Julio Arce,34.0,170.18,18.0,6.0,4.38,3.1
Julio Paulino,48.0,182.88,23.0,5.0,0.97,1.87
Jumabieke Tuerxun,37.0,170.18,19.0,4.0,1.6000000000000003,3.08
JunYong Park,33.0,177.8,17.0,6.0,4.53,3.3
Junie Browning,39.0,175.26,5.0,6.0,3.76,1.76
Junior Albini,33.0,190.5,14.0,6.0,3.9799999999999995,6.08
Junior Assuncao,42.0,175.26,16.0,6.0,3.31,2.06
Junior Dos Santos,40.0,193.04,21.0,9.0,4.49,3.33
Junior Tafa,27.0,190.5,5.0,2.0,1.8099999999999998,1.86
Jussier Formiga,38.0,165.1,23.0,8.0,1.42,2.34
Justin Buchholz,40.0,182.88,15.0,10.0,2.35,4.14
Justin Edwards,41.0,177.8,9.0,5.0,2.68,3.32
Justin Eilers,45.0,185.42,19.0,7.0,2.86,5.66
Justin Frazier,34.0,182.88,10.0,3.0,1.11,6.11
Justin Gaethje,35.0,180.34,25.0,4.0,7.349999999999999,7.5
Justin James,47.0,177.8,13.0,7.0,1.34,2.68
Justin Jaynes,34.0,170.18,16.0,8.0,3.34,5.33
Justin Jones,36.0,180.34,9.0,2.0,1.7,3.17
Justin Lawrence,33.0,172.72,10.0,4.0,3.84,2.83
Justin Ledet,35.0,193.04,9.0,4.0,3.35,4.82
Justin Levens,43.0,180.34,10.0,7.0,1.24,3.15
Justin Martin,,182.88,4.0,3.0,0.0,0.0
Justin McCully,48.0,185.42,11.0,5.0,1.58,2.02
Justin Salas,42.0,172.72,12.0,7.0,3.4199999999999995,2.96
Justin Scoggins,31.0,170.18,11.0,5.0,3.56,2.16
Justin Tafa,30.0,182.88,7.0,4.0,4.09,5.02
Justin Willis,36.0,185.42,8.0,2.0,3.37,2.57
Justin Wren,36.0,187.96,13.0,2.0,3.43,2.07
Justine Kish,35.0,165.1,7.0,4.0,4.51,4.589999999999999
Jutaro Nakao,53.0,175.26,25.0,19.0,0.53,1.06
KB Bhullar,32.0,193.04,8.0,2.0,4.31,5.39
KJ Noons,41.0,177.8,13.0,9.0,3.6800000000000006,3.78
Kai Kamaka,29.0,170.18,8.0,4.0,4.96,5.29
Kai Kara-France,31.0,162.56,24.0,11.0,4.57,3.24
Kailin Curran,32.0,162.56,4.0,5.0,3.89,4.75
Kajan Johnson,39.0,180.34,23.0,13.0,2.47,1.59
Kalib Starnes,49.0,190.5,17.0,11.0,2.71,4.43
Kalindra Faria,37.0,170.18,18.0,8.0,2.23,1.4400000000000002
Kamal Shalorus,51.0,172.72,9.0,5.0,3.06,2.99
Kamaru Usman,36.0,182.88,20.0,4.0,4.36,2.74
Kamuela Kirk,29.0,177.80000000000004,12.0,6.0,3.22,5.87
Kanako Murata,30.0,154.94,12.0,3.0,2.15,2.4
Karine Gevorgyan,35.0,162.56,3.0,3.0,1.2,1.8
Karine Silva,30.0,165.1,17.0,4.0,3.3699999999999997,3.3699999999999997
Karl Roberson,33.0,185.42,9.0,6.0,2.57,2.42
Karl Williams,34.0,190.5,10.0,1.0,2.8699999999999997,1.7
Karlos Vemola,38.0,182.88,17.0,5.0,1.67,2.13
Karo Parisyan,41.0,177.80000000000004,24.0,11.0,2.49,2.19
Karol Rosa,29.0,165.1,17.0,6.0,6.34,4.78
Karolina Kowalkiewicz,38.0,160.02,16.0,7.0,5.92,5.55
Katlyn Cerminara,35.0,175.26,18.0,6.0,4.58,4.48
Katsuhisa Fujii,51.0,182.88,9.0,18.0,4.0,4.43
Katsunori Kikuno,42.0,172.72,24.0,8.0,2.64,2.47
Kaue Fernandes,29.0,175.26,8.0,2.0,1.53,0.87
Kay Hansen,24.0,157.48,7.0,6.0,3.01,3.19
Kaynan Kruschewsky,32.0,182.88,15.0,2.0,5.08,4.79
Kazuhiro Nakamura,44.0,180.34,21.0,13.0,1.56,1.83
Kazuki Tokudome,37.0,180.34,18.0,7.0,2.26,3.63
Kazula Vargas,38.0,172.72,12.0,5.0,3.65,1.77
Kazushi Sakuraba,54.0,182.88,26.0,17.0,1.26,2.03
Keigo Kunihara,,182.88,3.0,2.0,0.17,1.99
Keiichiro Yamamiya,51.0,180.34,45.0,35.0,0.0,0.0
Keita Nakamura,39.0,180.34,34.0,10.0,2.23,3.2
Keith Berish,38.0,182.88,5.0,1.0,3.58,4.81
Keith Hackney,,180.34,2.0,2.0,0.0,0.0
Keith Jardine,48.0,187.96,17.0,11.0,3.25,2.98
Keith Mielke,,172.72,0.0,5.0,0.0,0.0
Keith Rockel,,182.88,12.0,4.0,1.13,0.21
Keith Wisniewski,42.0,182.88,28.0,15.0,2.32,4.86
Kelly Dullanty,46.0,172.72,4.0,2.0,0.0,0.67
Kelly Faszholz,38.0,172.72,4.0,2.0,4.01,3.61
Kelvin Gastelum,32.0,175.26,18.0,9.0,3.55,3.23
Ken Shamrock,60.0,185.42,28.0,17.0,1.4699999999999998,4.3
Ken Stone,41.0,172.72,11.0,4.0,3.85,2.9
Kendall Grove,41.0,198.12,23.0,17.0,2.31,2.4
Kenichi Yamamoto,47.0,182.88,5.0,12.0,0.3,1.93
Kennedy Nzechukwu,31.0,195.58,12.0,5.0,5.13,4.9
Kenny Florian,47.0,177.8,14.0,6.0,2.41,1.85
Kenny Robertson,40.0,177.8,15.0,5.0,3.7200000000000006,3.02
Kerry Schall,52.0,187.96,24.0,13.0,0.94,4.84
Ketlen Souza,29.0,160.02,13.0,4.0,0.0,1.71
Ketlen Vieira,32.0,172.72,14.0,3.0,3.0399999999999996,3.92
Kevin Aguilar,35.0,170.18,17.0,5.0,3.9599999999999995,4.81
Kevin Borjas,26.0,165.1,9.0,2.0,5.4,6.63
Kevin Burns,44.0,177.8,12.0,7.0,2.74,4.3
Kevin Casey,42.0,180.34,9.0,5.0,2.27,3.76
Kevin Croom,36.0,180.34,21.0,15.0,2.65,3.1
Kevin Ferguson,50.0,187.96,5.0,2.0,2.3,3.41
Kevin Holland,31.0,190.5,25.0,11.0,4.24,3.19
Kevin Jackson,,177.8,4.0,2.0,0.0,0.0
Kevin Jordan,53.0,190.5,11.0,9.0,2.0,1.91
Kevin Jousset,30.0,187.96,10.0,2.0,8.23,5.1
Kevin Lee,31.0,175.26,18.0,8.0,3.88,3.6
Kevin Natividad,30.0,167.64,9.0,4.0,2.68,4.29
Kevin Randleman,52.0,177.8,17.0,16.0,1.26,1.12
Kevin Rosier,,193.04,2.0,6.0,0.0,0.0
Khabib Nurmagomedov,35.0,177.8,29.0,0.0,4.1,1.75
Khadis Ibragimov,28.0,190.5,8.0,4.0,3.55,4.26
Khalid Murtazaliev,30.0,182.88,14.0,2.0,4.8,0.4
Khalid Taha,32.0,165.1,13.0,5.0,2.64,4.12
Khalil Rountree Jr.,34.0,185.42,14.0,5.0,3.84,4.18
Khama Worthy,37.0,180.34,16.0,9.0,4.18,4.45
Khamzat Chimaev,29.0,187.96,13.0,0.0,5.72,3.46
Khaos Williams,29.0,182.87999999999997,14.0,3.0,5.7700000000000005,5.33
Khusein Askhabov,29.0,172.72,23.0,1.0,2.0,4.13
Kiefer Crosbie,33.0,180.34,10.0,4.0,8.1,6.02
Kiichi Kunimoto,42.0,177.8,18.0,7.0,1.8700000000000003,3.9200000000000004
Kimo Leopoldo,56.0,190.5,10.0,7.0,0.7600000000000001,2.12
Kit Cope,47.0,182.88,6.0,7.0,1.18,2.12
Kleydson Rodrigues,28.0,165.1,8.0,3.0,5.48,2.75
Klidson Abreu,31.0,182.88,15.0,4.0,2.05,2.9
Koji Kitao,60.0,200.66,1.0,2.0,0.0,0.0
Koji Oishi,46.0,172.72,25.0,10.0,1.43,17.86
Konstantin Erokhin,41.0,180.34,9.0,3.0,1.07,1.83
Kris McCray,42.0,182.88,8.0,5.0,2.69,2.57
Kris Moutinho,31.0,170.18,9.0,6.0,4.86,15.48
Kristian Rothaermel,52.0,182.88,4.0,3.0,0.75,2.49
Kristof Midoux,49.0,185.42,6.0,10.0,0.7,2.89
Kron Gracie,35.0,175.26,5.0,2.0,3.74,6.82
Krzysztof Jotko,34.0,185.42,24.0,6.0,2.98,2.23
Krzysztof Soszynski,46.0,185.42,26.0,12.0,3.37,3.13
Kuniyoshi Hironaka,47.0,177.8,23.0,9.0,1.98,3.01
Kurt Holobaugh,37.0,180.34,21.0,8.0,4.37,4.07
Kurt Pellegrino,44.0,172.72,16.0,7.0,2.45,1.9400000000000002
Kwan Ho Kwak,34.0,165.1,9.0,2.0,3.29,3.45
Kyle Bochniak,37.0,170.18,8.0,5.0,2.63,5.11
Kyle Bradley,41.0,175.26,19.0,12.0,1.99,3.45
Kyle Daukaus,31.0,190.5,11.0,4.0,3.22,2.94
Kyle Kingsbury,42.0,193.04,11.0,6.0,2.97,3.81
Kyle Nelson,32.0,180.34,15.0,5.0,3.46,4.56
Kyle Noke,44.0,185.42,22.0,10.0,3.23,2.09
Kyle Prepolec,34.0,177.8,12.0,7.0,3.2,4.7
Kyle Stewart,35.0,182.88,11.0,3.0,1.41,2.42
Kyle Watson,44.0,182.88,13.0,8.0,3.67,3.25
Kyler Phillips,28.0,172.72,12.0,2.0,5.72,3.38
Kyoji Horiguchi,33.0,165.1,19.0,2.0,3.6,2.45
Kyung Ho Kang,36.0,175.26,19.0,10.0,3.35,3.33
Lance Benoist,35.0,180.34,7.0,2.0,3.68,2.7
Lance Gibson,53.0,175.26,4.0,5.0,1.21,6.44
Lando Vannata,32.0,175.26,12.0,7.0,4.52,4.76
Landon Quinones,28.0,175.26,7.0,3.0,6.77,7.7
Lara Procopio,28.0,162.56,7.0,2.0,5.64,6.5
Larissa Pacheco,29.0,170.18,10.0,2.0,1.21,4.14
Larry Cureton,,187.96,0.0,2.0,0.0,0.0
Laureano Staropoli,31.0,185.42,9.0,5.0,3.31,3.73
Lauren Mueller,32.0,165.1,5.0,3.0,4.08,3.77
Lauren Murphy,40.0,165.1,16.0,6.0,4.05,5.25
Lavar Johnson,46.0,193.04,18.0,10.0,5.39,2.54
Laverne Clark,50.0,180.34,27.0,21.0,0.0,0.0
Leah Letson,31.0,170.18,5.0,3.0,3.06,3.84
Leandro Issa,40.0,170.18,13.0,6.0,2.08,3.17
Leandro Silva,38.0,175.26,20.0,6.0,2.39,2.08
Lee Murray,46.0,190.5,8.0,2.0,0.36,3.28
Leigh Remedios,48.0,170.18,18.0,10.0,0.75,1.36
Leo Kuntz,40.0,177.8,18.0,4.0,1.68,3.8
Leon Edwards,32.0,187.96,22.0,3.0,2.75,2.34
Leonard Garcia,44.0,177.8,18.0,13.0,2.77,4.79
Leonardo Guimaraes,41.0,182.88,11.0,5.0,2.35,2.99
Leonardo Mafra,34.0,177.8,13.0,4.0,4.55,4.38
Leonardo Morales,31.0,172.72,6.0,2.0,2.05,2.05
Leonardo Santos,44.0,182.88,18.0,7.0,2.82,3.4
Lerone Murphy,32.0,175.26,13.0,0.0,3.65,2.4
Leslie Smith,41.0,175.26,10.0,7.0,7.56,8.41
Levan Makashvili,35.0,172.72,15.0,2.0,2.87,2.07
Lewis Gonzalez,36.0,177.8,11.0,3.0,1.4,1.87
Li Jingliang,36.0,182.88,19.0,8.0,4.46,3.84
Liana Jojua,29.0,162.56,8.0,5.0,2.42,5.32
Liang Na,27.0,165.1,19.0,7.0,1.93,4.48
Liliya Shakirova,32.0,162.56,8.0,2.0,2.7,2.58
Lina Lansberg,42.0,170.18,10.0,8.0,2.69,3.87
Lisa Ellis,41.0,162.56,15.0,11.0,1.68,2.32
Liudvik Sholinian,34.0,177.8,9.0,4.0,2.5,5.67
Livinha Souza,33.0,160.02,14.0,4.0,1.75,3.6
Liz Carmouche,40.0,167.64,13.0,7.0,2.78,2.51
Lodune Sincaid,50.0,175.26,15.0,9.0,2.72,6.17
Logan Clark,39.0,187.96,18.0,6.0,2.2,1.49
Loik Radzhabov,33.0,180.34,18.0,5.0,2.93,4.73
Loma Lookboonmee,28.0,154.94,9.0,3.0,4.1,2.48
Loopy Godinez,30.0,157.48,12.0,3.0,4.31,3.7599999999999993
Lorenz Larkin,37.0,180.34,18.0,6.0,3.53,2.74
Louis Cosce,28.0,175.26,7.0,2.0,4.31,5.35
Louis Gaudinot,39.0,160.02,8.0,4.0,2.34,6.42
Louis Smolka,32.0,175.26,17.0,9.0,4.67,4.11
Lowell Anderson,,167.64,0.0,1.0,0.0,0.0
Luan Chagas,30.0,182.88,15.0,3.0,4.16,3.19
Luan Lacerda,31.0,170.18,12.0,3.0,4.52,7.07
Luana Carolina,30.0,167.64,10.0,4.0,4.63,3.63
Luana Pinheiro,31.0,157.48,11.0,2.0,3.89,4.38
Luana Santos,23.0,167.64,7.0,1.0,6.21,3.64
Lucas Alexander,28.0,180.34,8.0,4.0,5.23,1.83
Lucas Almeida,33.0,180.34,14.0,3.0,5.05,5.32
Lucas Martins,35.0,182.87999999999997,19.0,3.0,2.87,4.14
Lucie Pudilova,29.0,172.72,14.0,9.0,3.6800000000000006,3.8299999999999996
Lucio Linhares,50.0,187.96,19.0,8.0,0.99,3.47
Ludovit Klein,29.0,170.18,21.0,4.0,3.96,3.7399999999999998
Luigi Fioravanti,43.0,172.72,26.0,15.0,2.23,2.21
Luigi Vendramini,28.0,172.72,9.0,3.0,2.82,3.82
Luis Henrique,30.0,187.96,10.0,5.0,1.8099999999999998,2.22
Luis Pajuelo,29.0,177.8,8.0,2.0,6.03,8.2
Luis Pena,30.0,190.5,9.0,3.0,3.66,3.12
Luis Ramos,43.0,172.72,20.0,10.0,2.4,5.6
Luis Saldana,33.0,180.34,16.0,7.0,5.16,3.65
Luiz Cane,42.0,187.96,17.0,7.0,4.79,5.0
Luiz Dutra,41.0,180.34,13.0,6.0,3.92,4.8
Lukasz Brzeski,31.0,193.04,8.0,4.0,5.08,3.4599999999999995
Lukasz Sajewski,33.0,172.72,13.0,3.0,2.06,3.8800000000000003
Luke Barnatt,35.0,198.12,13.0,4.0,4.43,3.8699999999999997
Luke Caudillo,43.0,170.18,17.0,17.0,1.97,5.07
Luke Cummo,43.0,182.87999999999997,6.0,6.0,1.74,1.5
Luke Jumeau,36.0,180.34,13.0,5.0,2.93,3.17
Luke Rockhold,39.0,190.5,16.0,6.0,4.1,2.68
Luke Sanders,38.0,167.64,13.0,5.0,6.61,4.37
Luke Zachrich,42.0,187.96,14.0,4.0,4.56,4.46
Lyman Good,38.0,182.88,21.0,6.0,5.34,4.01
Lyoto Machida,45.0,185.42,24.0,8.0,2.59,1.57
Mac Danzig,44.0,172.72,21.0,12.0,3.39,3.44
Maciej Jewtuszko,43.0,182.88,12.0,3.0,2.29,1.39
Mackens Semerzier,43.0,175.26,8.0,4.0,2.91,3.48
Mackenzie Dern,31.0,162.56,13.0,5.0,3.31,4.09
Macy Chiasson,32.0,180.34,10.0,3.0,3.53,2.53
Mads Burnell,30.0,172.72,9.0,3.0,1.28,2.7099999999999995
Magnus Cedenblad,41.0,195.58,14.0,5.0,2.38,3.02
Magomed Ankalaev,31.0,190.5,19.0,1.0,3.64,2.25
Magomed Mustafaev,35.0,172.72,14.0,4.0,2.59,2.68
Maheshate,24.0,182.88,9.0,3.0,2.91,4.86
Maia Stevenson,42.0,162.56,6.0,5.0,1.57,3.13
Maiquel Falcao,43.0,180.34,37.0,10.0,1.67,0.53
Mairbek Taisumov,35.0,175.26,27.0,6.0,2.98,3.03
Makhmud Muradov,34.0,187.96,26.0,8.0,4.21,2.57
Maki Pitolo,33.0,177.80000000000004,13.0,9.0,4.1,3.93
Makwan Amirkhani,35.0,177.8,17.0,9.0,1.33,2.98
Malcolm Gordon,33.0,170.18,14.0,8.0,2.5,2.0
Mallory Martin,30.0,162.56,7.0,5.0,4.42,6.64
Mana Martinez,28.0,177.8,10.0,4.0,4.33,4.94
Mandy Bohm,34.0,170.18,8.0,2.0,2.51,3.24
Manel Kape,30.0,165.1,19.0,6.0,5.12,4.51
Manny Bermudez,29.0,177.8,14.0,2.0,2.92,2.68
Manolo Zecchini,27.0,172.72,11.0,4.0,2.34,6.75
Manon Fiorot,34.0,170.18,11.0,1.0,6.05,3.31
Manuel Rodriguez,38.0,175.26,11.0,5.0,0.81,3.23
Manuel Torres,29.0,177.80000000000004,15.0,2.0,8.14,3.15
Manvel Gamburyan,42.0,165.1,15.0,10.0,2.13,2.8300000000000005
MarQuel Mederos,27.0,177.8,9.0,1.0,4.39,3.29
Mara Romero Borella,37.0,167.64000000000001,12.0,9.0,2.54,2.48
Marc Diakiese,31.0,177.8,17.0,7.0,2.54,2.64
Marc-Andre Barriault,34.0,185.42,16.0,7.0,6.19,5.67
Marcel Fortuna,38.0,185.42,9.0,3.0,3.83,4.52
Marcelo Aguiar,,177.8,2.0,3.0,0.0,0.0
Marcelo Golm,31.0,190.5,6.0,3.0,4.27,4.3
Marcelo Guimaraes,40.0,182.88,9.0,2.0,4.67,4.41
Marcelo Mello,,170.18,1.0,0.0,0.0,0.0
Marcelo Rojo,35.0,172.72,16.0,10.0,4.92,6.419999999999999
Marcin Bandel,34.0,177.8,15.0,7.0,0.79,5.26
Marcin Held,32.0,175.26,23.0,7.0,1.41,2.02
Marcin Prachnio,35.0,190.5,17.0,7.0,5.61,3.3
Marcin Tybura,38.0,190.5,25.0,8.0,3.6,3.35
Marcin Wrzosek,36.0,175.26,12.0,4.0,3.47,4.07
Marcio Alexandre Junior,34.0,182.88,17.0,4.0,1.61,2.89
Marcio Cruz,45.0,193.04,8.0,3.0,2.92,1.51
Marco Beltran,37.0,172.72,8.0,6.0,2.07,1.93
Marco Polo Reyes,39.0,180.34,8.0,7.0,6.0,5.52
Marco Ruas,63.0,185.42,9.0,4.0,0.0,0.0
Marcos Mariano,37.0,185.42,6.0,6.0,0.25,2.11
Marcos Rogerio de Lima,38.0,185.42,22.0,10.0,3.7000000000000006,2.9
Marcos Vinicius,44.0,175.26,23.0,11.0,1.93,2.91
Marcus Aurelio,50.0,177.80000000000004,22.0,10.0,1.42,2.27
Marcus Bossett,,185.42,1.0,3.0,0.0,0.0
Marcus Brimage,38.0,162.56,7.0,7.0,3.97,3.64
Marcus Davis,50.0,177.8,22.0,11.0,2.72,2.79
Marcus Jones,50.0,198.12,4.0,2.0,1.94,2.71
Marcus LeVesseur,41.0,175.26,22.0,7.0,2.55,3.7000000000000006
Marcus McGhee,33.0,172.72,9.0,1.0,5.43,2.52
Marcus Silveira,,190.5,6.0,4.0,0.0,0.0
Maria Oliveira,27.0,167.64,13.0,7.0,5.03,5.76
Marina Rodriguez,36.0,167.64,17.0,3.0,4.77,2.89
Mario Bautista,30.0,175.26,14.0,2.0,5.69,3.9900000000000007
Mario Miranda,44.0,190.5,14.0,7.0,1.96,2.46
Mario Neto,,182.88,13.0,5.0,1.89,1.89
Marion Reneau,46.0,167.64,9.0,8.0,3.2000000000000006,3.52
Mariya Agapova,26.0,167.64,10.0,4.0,4.67,3.8199999999999994
Mark Bocek,42.0,172.72,12.0,5.0,2.34,2.32
Mark Coleman,59.0,185.42,16.0,10.0,1.88,2.62
Mark De La Rosa,29.0,167.64000000000001,11.0,5.0,3.13,5.0
Mark Eddiva,38.0,172.72,6.0,3.0,3.37,2.98
Mark Godbeer,40.0,193.04,13.0,4.0,3.97,3.3
Mark Hall,,182.87999999999997,5.0,6.0,0.0,0.0
Mark Holst,38.0,182.88,12.0,6.0,0.25,1.67
Mark Hominick,41.0,172.72,20.0,12.0,4.08,4.18
Mark Hughes,50.0,175.26,6.0,2.0,0.9,0.4
Mark Hunt,50.0,177.8,13.0,14.0,2.81,2.9
Mark Kerr,55.0,190.5,15.0,11.0,0.28,0.89
Mark Madsen,39.0,172.72,12.0,2.0,3.56,3.97
Mark Munoz,46.0,182.88,14.0,6.0,3.12,2.26
Mark Scanlon,,175.26,9.0,2.0,2.2,3.33
Mark Schultz,,175.26,1.0,1.0,0.0,0.0
Mark Striegl,35.0,172.72,18.0,4.0,1.4,4.07
Mark Weir,56.0,187.96,21.0,18.0,1.54,2.5
Markus Perez,35.0,185.42,12.0,5.0,2.6,3.72
Marlon Moraes,35.0,167.64,23.0,10.0,3.37,4.53
Marlon Vera,31.0,172.72,23.0,9.0,4.31,5.48
Marnic Mann,31.0,152.4,6.0,2.0,1.1,4.93
Martin Bravo,30.0,172.72,11.0,3.0,7.66,5.72
Martin Buday,32.0,193.04,13.0,2.0,5.17,5.7
Martin Day,35.0,177.8,8.0,6.0,3.97,3.79
Martin Kampmann,41.0,182.88,20.0,7.0,3.22,3.28
Martin Sano,32.0,180.34,4.0,3.0,4.0,12.0
Martin Svensson,38.0,185.42,15.0,6.0,2.02,5.91
Marvin Eastman,52.0,175.26,18.0,15.0,2.21,3.9200000000000004
Marvin Vettori,30.0,182.87999999999997,19.0,7.0,4.56,4.24
Maryna Moroz,32.0,170.18,11.0,6.0,4.42,4.89
Masanori Kanehara,41.0,170.18,26.0,12.0,1.88,1.63
Masio Fullen,37.0,177.80000000000004,11.0,7.0,2.46,3.5
Mason Jones,28.0,177.80000000000004,11.0,2.0,5.61,4.94
Masutatsu Yano,48.0,175.26,2.0,4.0,0.0,0.0
Mateus Mendonca,25.0,167.64,10.0,3.0,1.66,4.14
Mateusz Gamrot,33.0,177.8,24.0,2.0,3.09,3.07
Mateusz Rebecki,31.0,170.18,18.0,1.0,5.31,2.01
Matheus Nicolau,31.0,167.64,19.0,4.0,3.6599999999999997,3.14
Mats Nilsson,40.0,185.42,11.0,4.0,2.99,5.62
Matt Andersen,52.0,187.96,14.0,8.0,0.0,0.0
Matt Arroyo,41.0,177.80000000000004,3.0,3.0,1.62,2.01
Matt Bessette,39.0,177.8,22.0,9.0,4.36,4.45
Matt Brown,43.0,182.88,26.0,19.0,3.76,2.92
Matt Dwyer,34.0,193.04,9.0,4.0,2.57,3.24
Matt Frevola,33.0,175.26,11.0,4.0,3.71,3.5699999999999994
Matt Grice,42.0,172.72,15.0,5.0,4.09,2.69
Matt Hamill,47.0,185.42,12.0,8.0,3.69,3.8
Matt Hobar,37.0,177.80000000000004,9.0,3.0,3.23,4.27
Matt Horwich,45.0,185.42,30.0,25.0,1.11,2.16
Matt Hughes,50.0,175.26,45.0,9.0,2.14,1.36
Matt Lindland,53.0,182.88,22.0,9.0,2.62,1.5599999999999998
Matt Lucas,,185.42,15.0,3.0,1.27,3.93
Matt Mitrione,45.0,190.5,12.0,5.0,3.55,2.79
Matt Sayles,30.0,170.18,8.0,4.0,4.83,2.81
Matt Schnell,34.0,172.72,16.0,8.0,4.23,4.56
Matt Serra,49.0,167.64000000000001,11.0,7.0,1.98,2.64
Matt Van Buren,37.0,195.58,7.0,6.0,7.73,6.82
Matt Veach,42.0,180.34,17.0,5.0,1.12,4.91
Matt Wiman,40.0,177.8,16.0,10.0,3.17,3.5699999999999994
Matthew Lopez,37.0,170.18,10.0,4.0,3.1300000000000003,3.73
Matthew Riddle,38.0,185.42,8.0,3.0,3.01,2.74
Matthew Semelsberger,31.0,185.42,11.0,7.0,3.78,4.21
Maurice Greene,37.0,200.66,9.0,7.0,3.28,3.61
Maurice Smith,62.0,187.96,12.0,14.0,0.41,0.47000000000000003
Mauricio Rua,42.0,185.42,27.0,14.0,3.57,2.79
Max Griffin,38.0,180.34,20.0,10.0,3.92,3.81
Max Holloway,32.0,180.34,25.0,7.0,7.17,4.75
Max Rohskopf,29.0,185.42,5.0,1.0,1.7,5.8
Maxim Grishin,39.0,190.5,32.0,10.0,3.2599999999999993,2.27
Maximo Blanco,40.0,172.72,12.0,8.0,4.11,3.19
Maycee Barber,25.0,165.1,14.0,2.0,4.7,2.9
Mayra Bueno Silva,32.0,167.64,10.0,3.0,3.84,4.86
Megan Anderson,34.0,182.88,11.0,5.0,1.76,3.35
Mehdi Baghdad,38.0,185.42,11.0,5.0,3.13,4.56
Melinda Fabian,36.0,167.64,4.0,4.0,4.03,4.0
Melissa Dixon,32.0,170.18,6.0,0.0,3.47,3.2
Melissa Gatto,27.0,165.1,8.0,2.0,3.98,3.13
Melissa Martinez,26.0,157.48,7.0,1.0,3.0,2.53
Melquizael Costa,27.0,177.80000000000004,20.0,7.0,4.29,2.99
Melsik Baghdasaryan,32.0,175.26,8.0,2.0,5.28,3.06
Melton Bowen,54.0,182.88,0.0,1.0,0.0,0.0
Melvin Guillard,40.0,175.26,32.0,18.0,2.96,1.85
Merab Dvalishvili,33.0,167.64,17.0,4.0,4.5,2.37
Michael Bisping,45.0,185.42,30.0,9.0,4.33,2.71
Michael Chandler,37.0,172.72,23.0,8.0,4.89,4.58
Michael Chiesa,36.0,185.42,18.0,7.0,1.87,1.7
Michael Graves,33.0,177.8,6.0,0.0,1.25,1.47
Michael Johnson,37.0,177.8,23.0,19.0,4.27,3.83
Michael Kuiper,34.0,182.88,15.0,5.0,3.28,3.62
Michael McBride,38.0,185.42,8.0,3.0,4.08,5.85
Michael McDonald,33.0,175.26,17.0,4.0,2.69,2.76
Michael Morales,24.0,182.88,16.0,0.0,5.28,3.6
Michael Page,36.0,190.5,22.0,2.0,3.14,1.6
Michael Patt,,182.88,12.0,4.0,1.65,5.53
Michael Trizano,32.0,180.34,11.0,3.0,3.63,4.4
Michal Figlak,27.0,177.8,8.0,1.0,1.87,4.0
Michal Oleksiejczuk,29.0,182.88,19.0,7.0,5.06,4.26
Micheal Gillmore,37.0,180.34,6.0,5.0,2.04,3.02
Michel Batista,39.0,190.5,4.0,1.0,0.0,4.03
Michel Pereira,30.0,185.42,30.0,11.0,5.15,3.71
Michel Prazeres,42.0,167.64000000000001,26.0,4.0,2.38,2.5100000000000002
Michel Quinones,39.0,177.8,8.0,3.0,2.91,5.98
Michelle Waterson-Gomez,38.0,160.02,18.0,12.0,3.56,4.19
Michihiro Omigawa,48.0,167.64000000000001,17.0,14.0,2.01,3.06
Michinori Tanaka,33.0,165.1,11.0,3.0,1.97,1.9899999999999998
Mick Parkin,28.0,193.04,9.0,0.0,4.54,3.94
